Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400034996;12;12;2024;20:40;3;93;93066;1;1;1;5;AUTOROUTE A1;48,90515615;2,35842786
202400046979;20;2;2024;04:30;3;60;60369;1;9;1;2;A1;49,32024551;2,68725157
202400008619;9;8;2024;16:50;1;16;16295;1;1;1;7;;45,81822000;0,14473200
202400015159;1;7;2024;14:20;1;75;75101;2;3;1;7;QUAI DE L HORLOGE;48,85692300;2,34347500
202400015712;21;11;2024;00:30;5;974;97407;2;1;1;6;AXE MIXTE (ROND-POINT); -20,95332000;55,29431000
202400024702;3;10;2024;18:45;1;62;62765;2;1;1;2;Rue Eugene Delacroix;50,74480708;2,26325208
202400039296;13;1;2024;00:05;5;69;69142;1;1;1;2;Route de Métropole 7;45,72768000;4,81657000
202400034200;2;10;2024;18:00;1;69;69290;2;8;1;3;Rue Jules Ferry;45,69426000;4,94618000
202400012758;28;12;2024;07:45;3;13;13213;2;1;1;1;ALBERT EINSTEIN (RUE);43,49260000;5,37348000
202400032101;22;7;2024;18:15;1;29;29232;2;1;1;6;Boulevard des Frères Maillet;48,00018000; -4,08906000
202400009562;5;7;2024;19:50;2;38;38087;2;1;1;2;D4;45,58707000;4,78611000
202400004897;4;8;2024;00:05;5;44;44109;2;1;1;6;58 Rue des Renards;47,25739740; -1,56627778
202400013589;21;11;2024;10:40;1;54;54395;2;3;1;3;avenue Raymond Pinchard;48,70320000;6,15481900
202400011703;21;11;2024;09:45;1;69;69242;1;1;2;1;Route de Dracé;46,13653645;4,76174144
202400018620;29;5;2024;10:40;1;84;84020;1;1;1;5;D900;43,86573800;5,30904700
202400040826;18;10;2024;01:00;5;44;44162;2;6;1;6;Rond Point de la Porte d'Armor;47,22497547; -1,62117072
202400036341;3;10;2024;06:30;3;59;59289;1;1;1;1;Route de Valenciennes;50,23013200;3,50438100
202400017553;19;11;2024;12:30;1;974;97409;1;1;1;6;CHAMP BORNE (ROUTE DE); -20,93500000;55,66900000
202400047671;17;2;2024;16:50;1;44;44162;2;1;1;6;50 Boulevard François Mitterrand;47,21922684; -1,64059818
202400051095;15;2;2024;14:00;1;75;75116;2;3;1;7;RUE ALFRED BRUNEAU;48,85542200;2,27665500
202400035816;13;5;2024;14:50;1;973;97302;2;1;3;7;DE GAULLE (AVENUE);4,93888000; -52,33144000
